Event	ID	Name			Wwise Object Path	Notes
	154466876	paperputdown			\Default Work Unit\paper\paperputdown	
	199363535	UIHover			\Default Work Unit\UI\UIHover	
	1004479608	Gasp			\Default Work Unit\Crowd\Gasp	
	1097468465	Laughter			\Default Work Unit\Crowd\Laughter	
	1383581158	AnswerWrong			\Default Work Unit\Quiz\AnswerWrong	
	1404805401	DoorOpen			\Default Work Unit\DoorOpen	
	1425765504	swishknife			\Default Work Unit\knife\swishknife	
	1816659375	UISelect			\Default Work Unit\UI\UISelect	
	1894362767	Foot_Player			\Default Work Unit\Foot_Player	
	2468841472	stabknife			\Default Work Unit\knife\stabknife	
	2936962349	turnpage			\Default Work Unit\paper\turnpage	
	4141430720	Cheer			\Default Work Unit\Crowd\Cheer	
	4209927537	paperpickup			\Default Work Unit\paper\paperpickup	
	4230375851	AnswerRight			\Default Work Unit\Quiz\AnswerRight	

Switch Group	ID	Name			Wwise Object Path	Notes
	4050929301	Materials			\Default Work Unit\Materials	

Switch	ID	Name	Switch Group			Notes
	841620460	Concrete	Materials			
	1153642577	flesh	Materials			
	2058049674	Wood	Materials			
	2412606308	Carpet	Materials			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	23129057	fs_carpet-003	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\footsteps\carpet\fs_carpet-003_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\carpet\fs_carpet-003		196216
	103108841	Laughter-003	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\Crowd\Laughter\Laughter-003_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Crowd\Laughter\Laughter-003		961068
	124671959	fs_wood-004	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\footsteps\wood\fs_wood-004_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\wood\fs_wood-004		221856
	175158082	pickup-003	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\Paper\pickup\pickup-003_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Paper\pickup\pickup-003		237236
	191438108	Laughter-001	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\Crowd\Laughter\Laughter-001_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Crowd\Laughter\Laughter-001		906896
	231076949	fs_wood-002	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\footsteps\wood\fs_wood-002_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\wood\fs_wood-002		230280
	264173013	fs_concrete_005	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\concretefootsteps\concretefootstep-005_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\concrete\fs_concrete_005		210420
	264833536	door-001	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\door\door-001_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\door\door-001		254080
	269484815	door-003	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\door\door-003_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\door\door-003		254216
	272592884	pickup-001	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\Paper\pickup\pickup-001_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Paper\pickup\pickup-001		243304
	284091102	putdown-002	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\Paper\putdown\putdown-002_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Paper\putdown\putdown-002		267448
	301825278	fs_concrete_003	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\concretefootsteps\concretefootstep-003_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\concrete\fs_concrete_003		201772
	354130268	pageturning-003	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\Paper\pageturning\pageturning-003_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Paper\pageturning\pageturning-003		284528
	363305343	gasp-001	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\Crowd\Gasp\gasp-001_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Crowd\Gasp\gasp-001		376796
	397308475	UI_Hover	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\UI\UI_Hover\UI_Hover_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\UI_Hover		180240
	420837309	CrowdCheer-003	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\Crowd\Cheer\CrowdCheer-003_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Crowd\Cheer\CrowdCheer-003		1509796
	436781130	gasp-003	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\Crowd\Gasp\gasp-003_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Crowd\Gasp\gasp-003		291320
	442549924	fs_carpet-005	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\footsteps\carpet\fs_carpet-005_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\carpet\fs_carpet-005		215596
	475397973	fs_wood-003	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\footsteps\wood\fs_wood-003_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\wood\fs_wood-003		225144
	503020203	putdown-001	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\Paper\putdown\putdown-001_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Paper\putdown\putdown-001		290696
	559222334	pageturning-001	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\Paper\pageturning\pageturning-001_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Paper\pageturning\pageturning-001		246584
	611622974	UI_select-002	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\UI\UI_select\UI_select-002_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\UI_select\UI_select-002		194176
	637947754	stab-003	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\stab\stab-003_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\knife\stab\impact\stab-003		206376
	650741517	UI_select-003	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\UI\UI_select\UI_select-003_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\UI_select\UI_select-003		189116
	655261759	CrowdCheer-002	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\Crowd\Cheer\CrowdCheer-002_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Crowd\Cheer\CrowdCheer-002		1280728
	656304656	pickup-002	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\Paper\pickup\pickup-002_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Paper\pickup\pickup-002		240752
	666069906	putdown-003	D:\Projects\GitHubRepository\GameJam\GameJam_WwiseProject\.cache\Linux\SFX\Paper\putdown\putdown-003_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Paper\putdown\putdown-003		241204
